1600.639857069, Q, 36.21799850463867, 0, 0, 0, 0
1600.640611025, Q, 36.21900177001953, 0, 0, 0, 0
1600.641226427, Q, 36.21900177001953, 0, 0, 0, 0
1600.641863273, Q, 36.220001220703125, 0, 0, 0, 0
1600.642460305, Q, 36.22100067138672, 0, 0, 0, 0
1600.643134465, Q, 36.22200012207031, 0, 0, 0, 0
1600.643777404, Q, 36.22200012207031, 0, 0, 0, 0
1600.644704562, Q, 36.222999572753906, 0, 0, 0, 0
1600.645467444, Q, 36.2239990234375, 0, 0, 0, 0
1600.646119253, Q, 36.2239990234375, 0, 0, 0, 0
1600.646716896, Q, 36.224998474121094, 0, 0, 0, 0
1600.647389409, Q, 36.22600173950195, 0, 0, 0, 0
1600.65226331, Q, 36.22600173950195, 0, 0, 0, 0
1600.653106469, Q, 36.22700119018555, 0, 0, 0, 0
1600.653694501, Q, 36.22800064086914, 0, 0, 0, 0
1600.654289792, Q, 36.229000091552734, 0, 0, 0, 0
1600.65489799, Q, 36.229000091552734, 0, 0, 0, 0
1600.655501781, Q, 36.22999954223633, 0, 0, 0, 0
1600.660577717, Q, 36.23099899291992, 0, 0, 0, 0
1600.66296414, Q, 36.231998443603516, 0, 0, 0, 0
1600.667417674, Q, 36.231998443603516, 0, 0, 0, 0
1600.669840579, Q, 36.233001708984375, 0, 0, 0, 0
1600.671326325, Q, 36.23400115966797, 0, 0, 0, 0
1600.672805904, Q, 36.23400115966797, 0, 0, 0, 0
1600.673832747, Q, 36.23500061035156, 0, 0, 0, 0
1600.67482909, Q, 36.236000061035156, 0, 0, 0, 0
1600.675659156, Q, 36.23699951171875, 0, 0, 0, 0
1600.678205708, Q, 36.23699951171875, 0, 0, 0, 0
1600.679227847, Q, 36.237998962402344, 0, 0, 0, 0
1600.680255986, Q, 36.23899841308594, 0, 0, 0, 0
1600.681483012, Q, 36.2400016784668, 0, 0, 0, 0
1600.682699575, Q, 36.2400016784668, 0, 0, 0, 0
1600.683460624, Q, 36.24100112915039, 0, 0, 0, 0
1600.684424467, Q, 36.242000579833984, 0, 0, 0, 0
1600.685730844, Q, 36.242000579833984, 0, 0, 0, 0
1600.686585244, Q, 36.24300003051758, 0, 0, 0, 0
1600.687589068, Q, 36.24399948120117, 0, 0, 0, 0
1600.688679762, Q, 36.244998931884766, 0, 0, 0, 0
1600.68975916, Q, 36.244998931884766, 0, 0, 0, 0
1600.690661893, Q, 36.24599838256836, 0, 0, 0, 0
1600.691446793, Q, 36.24700164794922, 0, 0, 0, 0
1600.692241564, Q, 36.24800109863281, 0, 0, 0, 0
1600.693252184, Q, 36.24800109863281, 0, 0, 0, 0
1600.693839494, Q, 36.249000549316406, 0, 0, 0, 0
1600.694848689, Q, 36.249000549316406, 0, 0, 0, 0
1600.695593145, Q, 36.25, 0, 0, 0, 0
1600.696481082, Q, 36.250999450683594, 0, 0, 0, 0
1600.697216186, Q, 36.25199890136719, 0, 0, 0, 0
1600.697838421, Q, 36.25199890136719, 0, 0, 0, 0
1600.698453582, Q, 36.25299835205078, 0, 0, 0, 0
1600.699140521, Q, 36.25400161743164, 0, 0, 0, 0
1600.699682627, Q, 36.255001068115234, 0, 0, 0, 0
1600.700356158, Q, 36.255001068115234, 0, 0, 0, 0
1600.701624147, Q, 36.25600051879883, 0, 0, 0, 0
1600.702247752, Q, 36.25699996948242, 0, 0, 0, 0
1600.702862043, Q, 36.25699996948242, 0, 0, 0, 0
1600.703484093, Q, 36.257999420166016, 0, 0, 0, 0
1600.704124013, Q, 36.25899887084961, 0, 0, 0, 0
1600.704731082, Q, 36.2599983215332, 0, 0, 0, 0
